channel_name,date,likes,comments_count,view_count,title
Sukriti Ghosh,2025-08-03 12:07:36+00:00,23,3,3963,zudio sale haul under 300 shorts meesho zudio meeshotops fyp trending viral
GLOW WITH GAYATHRI ,2025-07-24 14:29:09+00:00,0,18,16614,onu zudio poyatha vendayirnu
Akriti Kanoria,2024-11-13 22:19:31+00:00,896,15,80213,boot from zudio fashion aesthetic pinterest boots zudio winterfashion ytshots blackboots
Priyanjali Datta ,2025-07-14 09:52:24+00:00,39,0,3413,zudio beauty finds under 99  ytshorts zudioshoppingvlog zudioindia zudiohaulvideo zudio
Rithvick Jr11,2023-05-30 12:10:10+00:00,0,137,281436,new shoes collections in zudio tamil fashion blogger mensfashion fashion zudio chennai rjr11
Aditya Rawat Vlogs,2024-03-13 13:07:51+00:00,110000,290,2032694,zudio summer shopping minivlog  shorts minivlog vlog
JTS VLOGS,2025-08-01 11:46:44+00:00,17000,42,374804,rs1000 in zudio challenge
glam with khushbu,2023-08-11 06:48:58+00:00,0,5,174067,zudio finds  zudio sale zudio fashion budgetfashion sale
Amansi ,2025-08-06 11:34:53+00:00,101,9,3696,zudio salehaul part2  zudio youtubeshorts zudioshoppingvlog zudiosale haul ytshorts
Muskan Tiwary,2025-05-02 14:04:58+00:00,604,5,96730,zudio makeup collection trending makeup zudio viralshort
Satz With Asi Vlogs,2025-08-13 09:51:42+00:00,1,0,981,minivlog36  zudio shopping polama trending minivlog zudio shopping yt viral vlog love
Zinda hu only for food,2025-07-01 09:32:21+00:00,450,9,76218,zudio sale postponed  ab 1st august se hai mat bhaago store pehle ye dekh lo
GenZ Tanya,2025-08-02 11:28:55+00:00,354,6,96276,people are loosing their mind for shopping during the saleviral sale zudio shopping day18
Ananya Chatterjee,2025-08-02 07:23:54+00:00,237,5,16322,zudio sale   shopping   youtubeshorts trending shorts bengalivlog zudio viral
Eat V2 Food,2025-04-27 06:37:22+00:00,2600,7,144403,madurai zudio collection  eat v2 food shorts zudio
Babu Ka Yuvraj,2025-08-13 06:43:48+00:00,5,1,1150,zudio under 399 rs babycomedy cutebaby love funny zudio zudioshoppingvlog
Behind Visions,2025-08-07 06:31:32+00:00,114,1,13637,99 149 only zudio sale offers zudio youtube youtubeshorts trending viralvideo
Arigato Arjun ,2025-08-02 10:31:43+00:00,1300,6,206962,zudio august offer sale zudio augustsale 149 499
Aliviya’s Vlog,2025-02-19 10:57:41+00:00,795,3,90767,zudio latest collection in kolkata 2025 zudio latestcollection kolkata parkstreetkolkata
Sharmili Chakraborty,2025-06-17 12:44:19+00:00,1800,8,56012,zudio new launches  hit or miss  zudio zudiomakeup newlaunch
ST Krishna Jaiswal Vlogs,2025-08-12 07:36:51+00:00,14,0,3245,zudio sale go and check it out shopping zudio funny ytshort youtubeshorts sale zudiohaulvideo
Beyond Limits,2025-03-21 06:21:12+00:00,0,1,31559,everything under 299  zudio sale zudio haul zudioshoppingvlog fashion
Janhvi's  Camera,2025-08-06 11:28:55+00:00,8,4,163,zudio sale haul 2025  insane deals under 500 zudio zudiohaul haul sale youtubeshorts
Sneha Bhardwaj,2022-11-12 07:39:11+00:00,15000,50,1300409,zudio  299 only zudio footwear fashion latestcollection latesthaul
Rashmi Bhatt official,2025-08-11 08:34:09+00:00,16,1,1162,zudio latest august collectionhuge sale at zudio starting29 festival collection
kiya sauren,2025-08-07 13:31:27+00:00,325,0,19556,she styled me from the zudio sale under 500 zudio shorts youtubeshorts zudioindia grwm
Ash Gloss,2025-08-06 14:22:45+00:00,11,0,1431,zudio 1st august sale sale zudio zudiosale
Megha Unni,2025-08-05 08:50:00+00:00,0,0,11620,zudio sale  july 31  aug 31  zudio zudiosale2025 trending shorts
vani ,2025-08-09 17:02:39+00:00,10,0,1623,zudio latest collectiondress zudio collection newyoutubeshorts fyp
Ordinary Person,2025-08-01 16:41:41+00:00,109,0,10925,zudio sale is live now  zudio zudioshoppingvlog trending shorts trichyyoutuber
LakshayThakurrr,2025-05-22 07:30:34+00:00,8100,21,273191,zudio summer collection 2025 worth or overhyped zudio mensfashion
