type,caption,comments_count,likes_count,timestamp
Video,"zummer rule 101 if the anthem plays you dance 

myzudio zummer",42,2720,2025-03-28 12:31:11+00:00
Video,"serving goals in denim 

myzudio",4,724,2025-03-06 13:34:15+00:00
Video,"spotted your next style obsession 

myzudio",38,1541,2025-01-31 13:39:56+00:00
Sidecar,"pov you just found the tee 

drop a  if you agree

myzudio",18,1554,2025-02-11 13:37:01+00:00
Video,"this friday  denim coded 

myzudio",3,880,2025-02-07 10:36:09+00:00
Video,"who did it better me or him 
let us know 

myzudio 

tc apply",211,7959,2025-01-16 13:32:35+00:00
Video,"zooming in on the next big thing 

myzudio",18,1858,2025-01-20 13:28:19+00:00
Video,"your sign to add mocha mousse to every look 

myzudio",17,2204,2025-01-30 14:30:27+00:00
Video,"weekly forecast spring coded outfits incoming 

myzudio",36,1250,2025-01-28 13:30:00+00:00
Video,"fomo friday drops got us dancing 

myzudio",0,16,2025-01-10 13:59:45+00:00
Video,"its giving spring 
drop a  in the comments 

myzudio",59,1658,2025-01-24 13:34:06+00:00
Video,"walked into 2025 with unmatched drip at an unmatched price 

myzudio 

tc apply",23,4411,2025-01-07 13:27:26+00:00
Video,"behind the lens to on top of the trends 

myzudio",13,1774,2025-01-25 13:30:00+00:00
Sidecar,"trends that will hit different this season  
which ones your fav

myzudio",18,1524,2025-01-21 14:46:35+00:00
Video,"our spring vision board is ready  

what trend would you add in yours  

myzudio",9,812,2025-01-27 13:39:23+00:00
Video,"new besties loading

tag your besties 

myzudio",34,1638,2025-01-23 13:51:53+00:00
Video,"isnt this the most stylish pitstop 

myzudio",34,3358,2025-01-11 13:29:57+00:00
Video,"your midsale new style upgrade delivered 
fomo friday is here 

myzudio",30,3707,2025-01-10 15:05:00+00:00
Video,"polos are having a moment 
comment in if youre going to try em next 

myzudio",40,1444,2025-01-29 14:00:00+00:00
Video,"when working out is your resolution but you also love the zudio sale 

myzudio

tcs apply",56,9608,2025-01-04 15:00:00+00:00
Sidecar,"pro tip shop fast 

myzudio 

tc apply",184,7518,2025-01-15 10:27:07+00:00
Image,"everything sale at 499 or less

myzudio 

tcs apply",17,1105,2024-12-31 05:53:45+00:00
